@relation Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A5-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute class {0,1}

@data
0.000879,0.016246,-0.177906,-0.261416,1
0.020416,-0.044801,-0.038862,-0.040596,1
0.00983,-0.002906,0.035387,-0.013169,1
0.012759,0.035053,-0.436296,-0.438355,0
0.054172,0.015251,-0.299393,-0.378391,1
0.020944,0.018737,-0.069739,-0.045439,0
0.016456,-0.009796,0.029158,0.086086,0
0.054588,0.032494,-0.480095,-0.498424,0
-0.00744,0.018551,0.024916,0.065189,0
0.056743,0.016613,-0.301973,-0.38642,1
0.019868,0.03342,-0.365862,-0.380392,0
0.027329,-0.003345,-0.053216,-0.093331,1
-0.012383,-0.050608,-0.049448,-0.0134,0
-0.057963,-0.010473,0.095152,0.127214,0
-0.043868,-0.00814,0.026046,0.0421,0
0.010463,-0.005586,-0.069408,-0.140054,1
0.044749,0.030768,-0.461963,-0.489713,0
0.038222,-0.053391,-0.050324,-0.067057,1
-0.014002,-0.033323,-0.082373,-0.065694,0
0.021334,-0.060775,-0.209677,-0.239594,1
-0.013022,0.000676,0.038774,-0.006983,1
0.022444,-0.02301,-0.084791,-0.032436,0
0.069917,-0.047266,-0.172235,-0.184862,1
0.04556,0.013184,-0.392319,-0.484857,1
-0.002311,-0.021854,-0.163115,-0.196408,0
0.014798,-0.042682,-0.018859,-0.042316,1
-0.008054,-0.014513,0.105376,0.170146,0
0.06851,0.015668,-0.503151,-0.615257,1
0.013165,0.030924,-0.108888,-0.102426,0
-0.051439,-0.007351,0.111154,0.156897,0
-0.015642,-0.048534,-0.015436,0.029261,0
-0.020089,0.00708,-0.045449,-0.046385,0
0.127672,0.035128,-0.826297,-0.859806,0
0.00096,0.010875,-0.133261,-0.100349,0
-0.01724,0.029374,-0.064869,-0.030654,0
0.010194,0.019038,-0.279462,-0.262918,0
-0.011458,-0.008349,0.050943,0.099206,0
0.124952,0.034459,-0.557831,-0.655439,1
0.00884,-0.044902,0.024076,0.015812,1
0.015371,0.035024,-0.442477,-0.447322,0
-0.02653,-0.041515,0.02841,0.076485,0
0.013458,0.029235,-0.120394,-0.116615,0
0.034064,0.021977,-0.390007,-0.394397,0
0.005513,0.003379,-0.121173,-0.203734,1
0.047624,-0.022504,0.060587,0.135087,0
0.019308,0.008038,-0.035639,0.008847,0
0.023215,-0.042128,-0.158759,-0.209583,1
-0.007798,-0.022556,0.106829,0.168029,0
-0.052055,0.000759,0.147904,0.192013,0
-0.005043,-0.038727,-0.01012,-0.034933,1
0.068379,-0.042533,-0.140317,-0.150176,1
0.000033,0.017524,-0.149014,-0.137741,0
0.046358,0.007307,-0.333227,-0.425824,1
0.012594,0.018334,-0.388168,-0.49428,1
0.063393,0.011901,-0.239045,-0.318414,1
-0.007311,0.030123,-0.092212,-0.070712,0
-0.013638,0.019322,0.014267,0.057434,0
0.016152,-0.006321,0.06228,0.024697,1
-0.050892,0.00952,0.097856,0.141618,0
0.021681,0.013474,-0.357661,-0.436523,1
0.010045,0.030791,-0.090918,-0.080232,0
-0.042719,-0.007529,0.092952,0.128499,0
0.020017,0.020137,-0.415607,-0.527868,1
0.028437,0.021824,-0.300127,-0.336239,0
0.074475,0.01863,-0.582798,-0.68843,1
-0.004058,0.017177,-0.153003,-0.16353,0
0.005862,-0.002275,0.063653,0.018777,1
0.068425,-0.056906,-0.237708,-0.252472,1
-0.031664,-0.003234,0.062213,0.081345,0
0.005795,0.021831,-0.458182,-0.556714,1
-0.012805,-0.020364,-0.028011,-0.08459,1
0.00925,0.019338,-0.207094,-0.183974,0
0.014311,0.02309,-0.5281,-0.64245,1
-0.014398,0.003366,0.015192,-0.026248,1
0.128975,0.034912,-0.823207,-0.85326,0
0.014428,-0.058589,-0.114878,-0.132222,1
-0.032282,-0.035348,-0.168876,-0.171863,0
0.096715,0.027885,-0.364932,-0.336423,0
-0.012901,0.015307,-0.135801,-0.213526,1
0.035628,0.014469,-0.205501,-0.267825,1
-0.026606,-0.015133,0.070206,0.030673,1
0.040576,0.013735,-0.35741,-0.445801,1
0.032013,0.033177,-0.307429,-0.354814,0
0.021436,-0.006941,0.007222,-0.036176,1
0.032399,0.018117,-0.335372,-0.437005,1
0.05497,0.018285,-0.372316,-0.365722,0
0.112061,0.028835,-0.600107,-0.695051,1
0.004984,-0.037114,-0.049248,-0.087346,1
0.022775,-0.000052,-0.083715,-0.157004,1
0.085425,0.025148,-0.326991,-0.293079,0
-0.04496,-0.008443,0.147072,0.191368,0
-0.032007,-0.008949,0.168057,0.215758,0
0.034255,0.0121,-0.11729,-0.085213,0
0.023397,-0.061996,-0.236241,-0.28223,1
0.032864,0.02806,-0.192608,-0.171239,0
0.020942,-0.008959,-0.071727,-0.11511,1
-0.002034,-0.005967,-0.112431,-0.138981,0
0.004745,0.033725,-0.456563,-0.475577,0
0.004203,-0.014001,-0.009766,-0.044857,1
-0.043273,-0.012989,0.100486,0.150063,0
0.035105,0.021208,-0.300256,-0.296421,0
-0.003958,0.012675,-0.151642,-0.225914,1
0.017902,0.029397,-0.235692,-0.260485,0
-0.008969,-0.01496,0.123973,0.189826,0
-0.050724,-0.008925,0.192352,0.246106,0
0.00575,0.017773,-0.210078,-0.300992,1
-0.034355,-0.02016,-0.007373,-0.001094,0
0.008791,0.034473,-0.373011,-0.375904,0
-0.002379,0.035967,-0.443911,-0.439564,0
0.014234,0.034718,-0.469693,-0.484011,0
0.019206,-0.023882,-0.105176,-0.052268,0
0.018137,-0.056297,-0.09386,-0.115766,1
0.026961,-0.005913,-0.028593,-0.078859,1
0.087415,0.024751,-0.568812,-0.57532,0
-0.027949,0.008548,0.002235,-0.046971,1
0.007425,-0.002802,-0.051668,-0.029173,0
0.135828,0.032837,-0.786066,-0.89899,1
-0.000791,-0.00187,-0.1007,-0.128996,0
0.013507,-0.001811,-0.03963,-0.009534,0
0.018437,-0.001734,-0.113563,-0.168285,1
0.077373,0.037677,-0.826695,-0.926691,0
0.075931,0.038744,-0.654126,-0.726944,0
0.022309,0.029446,-0.198923,-0.185951,0
-0.002255,0.021246,-0.274999,-0.358171,1
-0.003473,-0.000566,0.093242,0.060203,1
-0.001209,0.01569,-0.1787,-0.261784,1
-0.041746,-0.026944,-0.031572,-0.018663,0
-0.014004,-0.029031,0.027752,-0.012214,1
-0.027273,0.01867,0.075896,0.132018,0
-0.044511,-0.010712,0.19278,0.246172,0
0.01583,0.031771,-0.107266,-0.096528,0
-0.004123,-0.03526,0.005558,-0.02492,1
-0.032894,-0.031087,-0.054549,-0.045158,0
0.137867,0.023096,-0.880377,-1.017126,1
-0.035436,0.007222,0.030055,-0.011946,1
0.046089,-0.018185,-0.043915,-0.004989,0
-0.000616,0.022145,-0.444355,-0.542766,1
0.138733,0.034816,-0.806166,-0.924262,1
0.018773,0.019602,-0.092649,-0.086925,0
0.011874,0.018421,-0.358041,-0.457839,1
0.032013,0.033177,-0.307429,-0.354814,0
-0.007307,0.021024,-0.257523,-0.334752,1
0.022218,-0.002975,-0.128364,-0.19198,1
-0.037442,-0.003887,0.12355,0.164014,0
0.030724,0.031106,-0.204882,-0.190299,0
-0.002139,0.017876,0.033744,0.075669,0
0.044621,0.017272,-0.478839,-0.583499,1
0.043349,0.016096,-0.473503,-0.575641,1
0.125015,0.034363,-0.818463,-0.852406,0
0.087041,-0.091485,-0.424199,-0.430643,1
0.016593,0.018789,-0.399533,-0.509519,1
0.078518,0.027052,-0.325669,-0.301718,0
0.06978,0.016773,-0.412241,-0.397342,0
0.025205,0.001998,-0.120873,-0.202674,1
-0.029597,0.008002,-0.015417,-0.063282,1
0.004648,0.018136,-0.197741,-0.285989,1
-0.025986,-0.037306,0.026055,0.066892,0
-0.029585,-0.033616,-0.160369,-0.16704,0
0.11796,0.027166,-0.609981,-0.612113,0
0.025778,-0.033454,-0.084155,-0.108736,1
-0.03533,-0.00789,0.096329,0.126899,0
0.02658,0.020994,-0.155406,-0.152004,0
0.098303,0.032753,-0.757955,-0.790608,0
0.0045,0.0351,-0.435659,-0.423701,0
0.095342,0.028983,-0.391131,-0.379979,0
0.029513,0.00618,-0.257858,-0.33524,1
-0.020456,0.005719,0.023869,0.072964,0
0.032438,0.02669,-0.710284,-0.843036,1
-0.043418,-0.031075,0.109996,0.151484,0
-0.018382,0.020587,-0.115068,-0.099907,0
-0.007996,-0.020109,0.085754,0.146436,0
0.060453,-0.084811,-0.221381,-0.219215,1
0.001434,0.034651,-0.157948,-0.154905,0
0.006767,0.012319,-0.180191,-0.157303,0
-0.002035,-0.005967,-0.112429,-0.138979,0
-0.012753,0.026437,-0.151992,-0.125328,0
-0.026025,0.001436,0.041994,0.083696,0
-0.010675,0.020885,-0.1058,-0.074347,0
0.050934,-0.05799,-0.161304,-0.152448,1
-0.04258,0.000092,0.106455,0.138639,0
-0.042202,-0.004655,0.079613,0.117008,0
0.03002,0.00593,-0.250514,-0.325647,1
0.134627,0.033902,-0.922884,-0.972761,0
0.054675,0.035646,-0.644754,-0.718701,0
0.031646,0.018335,-0.109295,-0.090159,0
-0.020661,0.006774,-0.021353,-0.081456,1
0.016135,0.012586,-0.216209,-0.279068,1
0.104369,0.029718,-0.385237,-0.345322,0
0.09504,0.028118,-0.363879,-0.325083,0
0.016139,0.035521,-0.482279,-0.492834,0
-0.023209,-0.000997,0.059378,0.018562,1
0.035138,0.028482,-0.218445,-0.208996,0
-0.027751,0.004497,0.024603,-0.023401,1
0.055768,0.031279,-0.438712,-0.445094,0
0.031798,0.006103,-0.126885,-0.189616,1
0.006832,-0.009636,-0.038046,-0.101193,1
-0.005237,0.031144,-0.158256,-0.166695,0
0.038643,0.015258,-0.442037,-0.538615,1
0.038752,0.010603,-0.168454,-0.234875,1
0.007201,-0.034599,-0.033344,-0.07281,1
0.02303,0.023824,-0.316186,-0.344139,0
-0.002311,-0.021854,-0.163115,-0.196408,0
0.045645,0.009034,-0.197191,-0.271363,1
0.079463,0.019774,-0.609605,-0.725171,1
-0.017304,-0.000814,0.022191,-0.029196,1
-0.054618,-0.00186,0.15635,0.202816,0
-0.044985,-0.011314,0.206614,0.267301,0
0.066414,-0.061053,-0.240354,-0.247737,1
0.051902,-0.051866,-0.182292,-0.186065,1
0.005918,-0.035406,-0.039223,-0.079188,1
-0.034711,0.016756,-0.060308,-0.035586,0
0.006136,-0.036726,-0.08074,-0.131358,1
0.00178,0.01806,-0.111928,-0.089171,0
0.049236,-0.049291,-0.097346,-0.0995,1
-0.032257,0.01141,-0.050169,-0.095835,1
-0.003669,0.025785,-0.385734,-0.470845,1
0.011588,0.020892,-0.482876,-0.597888,1
0.007313,0.02293,-0.48933,-0.598819,1
-0.012402,0.018465,-0.050243,-0.014676,0
-0.000333,0.017739,-0.090491,-0.067848,0
-0.002409,0.015033,-0.088855,-0.061918,0
0.013508,0.022798,-0.518672,-0.631909,1
0.043896,-0.072992,-0.3183,-0.361133,1
0.016727,0.000513,-0.078834,-0.149991,1
0.031307,0.026791,-0.197184,-0.177223,0
0.032794,0.014775,-0.407836,-0.498191,1
0.003854,0.013063,-0.186257,-0.269817,1
-0.04891,-0.007576,0.169088,0.213659,0
0.025568,-0.026535,0.011887,0.073113,0
0.050305,0.008845,-0.349693,-0.451249,1
-0.032593,-0.005448,0.084813,0.135617,0
0.021284,0.007187,-0.210769,-0.292958,1
0.010539,0.002286,-0.075881,-0.053177,0
0.059065,-0.084205,-0.189344,-0.187028,1
0.019484,-0.057819,-0.095632,-0.11397,1
0.066996,0.021263,-0.463764,-0.463725,0
-0.041302,-0.006599,0.057742,0.091046,0
0.108189,0.032343,-0.466666,-0.552858,1
0.018202,0.006914,-0.164127,-0.242093,1
0.04088,-0.019171,0.028087,0.092591,0
0.027563,0.039157,-0.53383,-0.548815,0
-0.027605,-0.028866,-0.07507,-0.071267,0
-0.002413,0.007823,-0.142656,-0.202554,1
-0.01039,-0.000663,0.010261,-0.03584,1
0.01402,0.019063,-0.388358,-0.489097,1
-0.000518,-0.023259,-0.059406,-0.01737,0
-0.008287,0.000099,-0.063206,-0.110071,1
-0.002273,0.033176,-0.115819,-0.104623,0
0.0117,0.033721,-0.421424,-0.436675,0
0.0566,0.034717,-0.439627,-0.439317,0
0.032323,0.008477,-0.119597,-0.179394,1
0.020915,0.025949,-0.665202,-0.78423,1
0.026782,-0.031842,-0.084268,-0.110459,1
-0.008469,0.03429,-0.404409,-0.407074,0
0.001322,0.000022,-0.094764,-0.151887,1
0.020304,-0.02637,0.0621,0.132003,0
-0.026857,-0.007422,0.0165,0.04712,0
0.056137,-0.077739,-0.378087,-0.427238,1
-0.025854,0.009581,-0.048835,-0.106375,1
0.042594,0.013635,-0.374673,-0.461072,1
-0.012145,-0.001952,0.019045,0.058325,0
0.051842,-0.082649,-0.164447,-0.157975,1
-0.031455,-0.006586,0.094872,0.120683,0
0.019628,0.012501,-0.233192,-0.297923,1
0.01781,0.012074,-0.228689,-0.295217,1
0.014216,0.037982,-0.438236,-0.432074,0
0.045224,-0.021486,0.021943,0.082618,0
0.009443,-0.03534,-0.14526,-0.206642,1
-0.023888,-0.003981,0.061494,0.115615,0
0.018289,0.006813,-0.165498,-0.243084,1
-0.010625,-0.006349,-0.070685,-0.145874,1
0.017678,-0.041874,-0.011109,-0.035923,1
0.106021,0.029182,-0.412083,-0.38252,0
-0.057457,-0.007228,0.108079,0.143637,0
-0.012744,-0.000062,-0.046221,-0.088737,1
0.103099,0.032203,-0.734679,-0.761441,0
0.029077,-0.026909,-0.086749,-0.054792,0
0.013087,0.034887,-0.428329,-0.43344,0
-0.04671,-0.020312,0.090784,0.123316,0
-0.004763,0.030307,-0.112232,-0.09354,0
0.032452,0.014212,-0.151394,-0.14038,0
0.024988,-0.020506,-0.175363,-0.146286,0
0.092451,0.026136,-0.382641,-0.362723,0
-0.051418,-0.028237,0.003608,0.023485,0
0.018793,-0.046263,-0.211144,-0.261759,1
0.110464,0.02674,-0.563532,-0.548781,0
0.030891,0.020061,-0.351238,-0.334293,0
0.020682,-0.05216,-0.265685,-0.321732,1
0.059698,-0.061299,-0.21365,-0.215907,1
-0.02166,0.016821,-0.039482,-0.016,0
0.054818,-0.046404,-0.165904,-0.175709,1
0.017076,-0.045694,0.079441,0.080007,1
0.089889,0.024696,-0.344469,-0.312428,0
0.021324,0.020326,-0.431332,-0.54321,1
-0.008956,-0.028874,0.069152,0.045091,1
0.045921,0.030146,-0.244793,-0.287612,0
0.001262,0.011812,-0.154643,-0.235244,1
0.023381,-0.026823,-0.099144,-0.043834,0
0.021223,0.036816,-0.527715,-0.5384,0
0.069883,-0.047298,-0.127458,-0.133771,1
-0.019645,0.018488,-0.115053,-0.11488,0
0.006516,-0.052147,0.024586,0.021486,1
0.004518,0.007102,-0.015861,0.019204,0
-0.036171,-0.006934,0.167519,0.222419,0
0.065626,0.019435,-0.434132,-0.424432,0
-0.006673,0.000248,-0.046812,-0.024303,0
0.038376,-0.015096,0.034985,0.093824,0
0.025394,0.017433,-0.305015,-0.396863,1
0.012433,-0.017041,-0.010542,-0.028612,1
-0.003296,0.013739,-0.074208,-0.03807,0
0.022791,0.019716,-0.440669,-0.550326,1
0.002925,0.014306,0.028115,0.067518,0
-0.033726,-0.007032,0.1176,0.163183,0
0.033245,0.018715,-0.116217,-0.087911,0
-0.013558,-0.020461,-0.129542,-0.141012,0
-0.009271,-0.002852,-0.001254,0.038957,0
-0.044643,0.015855,-0.005356,0.036321,0
0.051999,-0.04933,-0.131238,-0.13648,1
-0.022772,0.002251,0.038435,-0.000429,1
-0.005924,-0.036384,0.030693,0.00628,1
0.016822,0.00538,-0.151043,-0.223995,1
-0.01609,-0.003787,0.01693,0.054585,0
-0.019034,0.027232,-0.12886,-0.090466,0
0.055141,-0.078371,-0.363698,-0.406716,1
-0.051719,0.006751,0.105809,0.146386,0
-0.014035,-0.039804,-0.079971,-0.050565,0
0.010292,-0.037061,-0.066325,-0.101691,1
-0.02023,0.013552,-0.083145,-0.147933,1
0.032667,0.015049,-0.201203,-0.266605,1
-0.005393,0.023359,-0.324253,-0.408276,1
0.070148,0.016027,-0.488363,-0.592844,1
0.005318,-0.03384,-0.090706,-0.148914,1
-0.043692,-0.022042,-0.000807,0.012682,0
-0.00514,-0.013009,-0.00799,0.044303,0
-0.039996,-0.02454,-0.027189,-0.015274,0
-0.038683,-0.009841,0.076062,0.11898,0
0.007212,-0.052743,0.051605,0.051689,1
0.002972,-0.018815,-0.062748,-0.019793,0
-0.037628,-0.009465,0.047222,0.08351,0
0.000334,-0.031784,-0.113243,-0.104609,0
-0.012224,-0.007391,-0.012325,-0.046411,1
-0.004857,0.015984,-0.136813,-0.212418,1
0.042735,0.016233,-0.372693,-0.466534,1
0.030457,0.019716,-0.324057,-0.311655,0
0.018508,0.02695,-0.161448,-0.141845,0
0.003239,-0.006094,-0.007903,0.033485,0
0.004162,-0.012086,-0.01782,-0.053221,1
0.062096,0.015908,-0.487179,-0.581685,1
0.036696,-0.052195,-0.022314,-0.037122,1
-0.023757,0.003681,0.02533,0.077003,0
0.01918,-0.043425,0.106549,0.104909,1
0.02855,0.029064,-0.179699,-0.16944,0
0.059917,0.011112,-0.22268,-0.299452,1
-0.044053,-0.023139,0.020518,0.036465,0
-0.012306,0.029869,-0.070947,-0.04675,0
0.080799,0.017628,-0.502528,-0.49647,0
-0.056868,-0.009844,0.084638,0.116554,0
-0.032905,0.023408,-0.041206,0.013121,0
0.011556,-0.00039,-0.039629,-0.10397,1
-0.033488,-0.000431,0.023669,0.064285,0
-0.057626,-0.008498,0.098268,0.133332,0
0.09061,0.026056,-0.470957,-0.454805,0
0.016209,-0.001946,0.02254,-0.020144,1
0.004917,-0.038566,-0.067905,-0.113393,1
0.02454,-0.008938,-0.09668,-0.146838,1
0.047022,0.010742,-0.160425,-0.23229,1
-0.025325,0.018537,-0.019,0.008335,0
0.053214,0.012272,-0.187912,-0.258316,1
0.075931,0.038744,-0.654126,-0.726944,0
0.020632,-0.054261,-0.114742,-0.143445,1
0.10937,0.032776,-0.752782,-0.77764,0
-0.008595,0.000854,-0.018603,-0.072071,1
-0.048164,-0.020657,0.077893,0.10494,0
-0.005527,-0.012642,0.070538,0.12936,0
0.025577,0.017607,-0.302791,-0.394942,1
0.075715,-0.042456,-0.206319,-0.229991,1
0.019283,0.008478,-0.014321,0.035485,0
-0.004692,-0.01335,0.058766,0.112718,0
-0.0354,-0.004701,0.040815,0.065756,0
0.107252,0.029055,-0.569851,-0.559835,0
0.001863,-0.029902,-0.164215,-0.189502,0
-0.039699,-0.031859,-0.044153,-0.026088,0
-0.014564,-0.017914,-0.015979,-0.071673,1
-0.012992,0.029352,-0.053416,-0.022193,0
0.033302,0.011092,-0.315977,-0.394136,1
0.017333,0.035474,-0.479008,-0.490373,0
0.041572,-0.014888,0.052965,0.11316,0
-0.019119,0.032527,-0.318645,-0.2898,0
-0.007331,0.033792,-0.137774,-0.121046,0
0.021136,-0.019132,-0.073975,-0.023021,0
0.052285,0.032721,-0.436898,-0.440063,0
-0.020558,-0.018161,-0.049895,-0.050597,0
0.126544,0.024627,-0.867727,-0.993112,1
-0.021678,-0.000816,-0.004502,-0.065546,1
-0.023246,0.023459,-0.071393,-0.025923,0
0.006512,0.003727,0.008059,0.049003,0
0.013288,0.023208,-0.51419,-0.629129,1
0.031551,0.01196,-0.105204,-0.079689,0
0.110827,0.025441,-0.778335,-0.888458,1
0.006366,-0.008878,-0.021625,-0.066891,1
0.066935,-0.059154,-0.252643,-0.268027,1
-0.017562,-0.01954,-0.000075,-0.053559,1
-0.004053,-0.001102,-0.077069,-0.129004,1
0.051763,-0.057334,-0.135847,-0.12684,1
-0.005927,0.000108,0.113791,0.082012,1
0.02769,-0.028585,0.012674,0.070491,0
0.027172,-0.029728,-0.095809,-0.130507,1
0.098816,0.019168,-0.643056,-0.737731,1
-0.023438,0.0005,0.039793,0.083102,0
-0.010934,0.019178,0.037591,0.081327,0
-0.017079,0.025081,-0.117463,-0.092231,0
-0.01631,-0.033888,-0.178531,-0.191712,0
0.049412,0.007924,-0.34017,-0.435828,1
0.040389,0.020159,-0.187006,-0.184399,0
0.057961,0.014501,-0.44896,-0.553366,1
0.017515,0.030917,-0.141656,-0.136003,0
0.084708,0.018278,-0.62556,-0.742042,1
0.011028,0.020942,-0.490951,-0.597777,1
-0.037198,-0.002564,0.075253,0.127729,0
-0.013055,0.024962,-0.15172,-0.118117,0
0.015818,0.013066,-0.292175,-0.364553,1
-0.009058,0.019934,-0.23247,-0.31064,1
-0.047662,0.009078,0.080765,0.121348,0
0.015375,-0.044844,-0.250716,-0.220904,0
0.002264,-0.009882,0.010105,-0.021931,1
-0.005469,-0.028571,-0.083736,-0.087976,0
-0.021478,0.003234,-0.03614,-0.008477,0
0.099045,0.02256,-0.606078,-0.604809,0
0.025846,-0.055782,-0.169311,-0.203163,1
0.00712,0.014748,-0.207279,-0.29613,1
0.120692,0.034767,-0.842666,-0.889259,0
-0.003424,-0.010323,0.013332,-0.038808,1
0.001863,-0.029902,-0.164215,-0.189502,0
0.023596,0.008265,-0.242903,-0.311261,1
-0.008563,0.019811,-0.235054,-0.310773,1
-0.011493,0.023981,-0.34567,-0.419648,1
0.023339,0.00959,-0.077945,-0.049625,0
0.023706,0.005824,-0.190733,-0.257696,1
0.025278,0.017181,-0.087076,-0.065508,0
0.06986,-0.057286,-0.284109,-0.304902,1
0.022102,0.008277,-0.201989,-0.284635,1
0.058997,0.014465,-0.439146,-0.546785,1
-0.004552,0.032709,-0.340092,-0.317591,0
0.027678,0.036823,-0.435172,-0.437948,0
0.031003,0.036865,-0.454382,-0.461165,0
0.028289,0.020416,-0.242631,-0.222417,0
0.029535,0.037081,-0.44276,-0.45062,0
0.003732,-0.041294,0.060302,0.047861,1
0.087478,-0.087774,-0.425342,-0.437288,1
0.013769,0.018331,-0.393632,-0.502108,1
0.026251,0.02789,-0.24264,-0.24659,0
-0.008084,0.015517,-0.129348,-0.199645,1
-0.022933,0.000111,0.025908,0.068758,0
0.05821,0.033597,-0.469212,-0.476848,0
-0.00425,0.017007,0.033704,0.082677,0
0.003325,0.003442,-0.125104,-0.187318,1
-0.005016,-0.031355,-0.008147,-0.047119,1
0.106778,0.023111,-0.529116,-0.507099,0
-0.033468,-0.009689,0.088032,0.137314,0
0.012254,-0.003538,0.041178,0.002951,1
0.059816,-0.01308,-0.094736,-0.069962,0
0.013366,-0.037032,-0.137968,-0.195914,1
-0.013019,0.020069,-0.218573,-0.286859,1
0.055099,0.01335,-0.185104,-0.259151,1
0.01746,-0.055376,-0.091741,-0.110452,1
0.084804,-0.093989,-0.429858,-0.427799,1
-0.021706,0.004763,-0.006852,-0.066854,1
-0.009993,-0.008306,0.011631,-0.019595,1
0.00432,0.008087,-0.185662,-0.257041,1
-0.003877,-0.01597,0.02707,0.063505,0
0.122424,0.024627,-0.838259,-0.958392,1
0.01797,-0.017285,-0.087489,-0.040813,0
-0.019909,-0.006854,-0.016736,-0.079521,1
0.128963,0.022986,-0.818171,-0.947881,1
-0.007141,-0.000308,0.00889,0.055654,0
-0.006013,0.001346,-0.078669,-0.127785,1
0.000408,0.035199,-0.440066,-0.42859,0
0.01374,0.034865,-0.447776,-0.448338,0
0.012991,0.00543,-0.137194,-0.204618,1
-0.011415,-0.02931,0.016861,-0.019789,1
-0.043772,-0.03085,0.127108,0.165847,0
0.020535,0.018767,-0.287168,-0.267841,0
-0.008868,0.006761,-0.061938,-0.06107,0
-0.0045,-0.024179,-0.040765,0.009819,0
0.015594,0.035044,-0.460848,-0.474502,0
-0.053521,-0.028101,0.092062,0.138478,0
0.019962,-0.041543,-0.024393,-0.051794,1
0.139354,0.023838,-0.88035,-1.016659,1
-0.005843,0.002249,-0.070014,-0.11767,1
0.013617,-0.03416,-0.034745,-0.04587,1
0.036226,0.027827,-0.248822,-0.236176,0
0.066146,0.03591,-0.750598,-0.83822,0
-0.012179,-0.029403,0.08148,0.06231,1
0.024474,0.011388,-0.074727,-0.042758,0
-0.016293,-0.003016,-0.013035,-0.047024,1
0.050534,-0.081253,-0.364841,-0.399589,1
0.027652,0.026264,-0.209894,-0.198336,0
-0.043927,-0.027683,-0.034459,-0.020984,0
-0.049466,-0.021279,0.03942,0.058244,0
-0.046596,-0.025809,0.082628,0.114005,0
-0.024138,0.000759,0.016313,0.058041,0
0.034894,0.025544,-0.369855,-0.413831,0
-0.011355,-0.008226,0.018215,-0.008634,1
-0.038221,-0.030362,-0.021999,-0.010532,0
-0.005181,-0.007467,0.003506,0.006056,0
0.019486,0.028503,-0.22921,-0.233338,0
-0.008057,0.018418,-0.084885,-0.049387,0
0.018119,0.034,-0.324714,-0.327535,0
0.030798,-0.058855,-0.274765,-0.333425,1
0.072178,-0.04306,-0.178021,-0.195403,1
0.023031,0.015821,-0.274864,-0.272253,0
-0.022769,0.02264,-0.086817,-0.045476,0
-0.010019,0.00064,-0.027678,-0.084105,1
-0.027663,0.008016,-0.016254,-0.069615,1
0.029698,0.027465,-0.694656,-0.820205,1
0.010965,0.034202,-0.36548,-0.369746,0
-0.009977,-0.00525,-0.07422,-0.150465,1
0.016639,0.01056,-0.075664,-0.057698,0
-0.054366,0.00675,0.112038,0.154021,0
-0.020606,0.01446,-0.071419,-0.130549,1
-0.008773,0.017138,-0.055783,-0.012166,0
-0.015415,0.021306,-0.094268,-0.060067,0
-0.002116,-0.042945,-0.038179,-0.063049,1
