@relation 'AT: Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.642skewness+0.613curtosis+0.395entropy-0.238variance numeric
@attribute 0.757variance+0.632entropy-0.161curtosis-0.046skewness numeric
@attribute '0.604variance-0.597entropy+0.52 curtosis-0.094skewness' numeric
@attribute class {0,1}

@data
0.544994,-0.689041,-1.119678,1
-0.240966,0.868756,-0.693436,1
-0.660875,-0.194103,-0.842622,1
1.47025,1.080143,0.703621,0
0.859247,0.763811,1.014974,0
-1.447076,-2.285993,0.560584,0
1.931879,-0.5546,-0.154062,1
0.362221,1.475166,-0.046006,0
-0.822553,-0.011995,-0.318312,0
-2.304326,-2.092558,1.037853,0
-2.742558,0.497198,1.091429,0
-1.130456,-1.560289,-0.056413,0
-0.079165,-0.796189,-0.559356,1
-0.383405,1.333107,0.121422,0
-2.22116,-1.327261,0.555107,1
1.258811,1.564988,0.43731,0
-1.312551,1.091587,0.141211,0
1.060765,0.974135,0.199716,0
4.010474,-1.601713,1.110066,1
-1.753472,0.647992,-0.223752,0
-0.889212,0.486513,0.356373,0
0.282046,0.243541,-0.129833,0
-1.681283,1.068844,0.286821,0
-0.168565,1.38448,0.082826,0
-1.276331,1.038218,0.186565,0
2.890899,-1.111278,0.63196,1
-0.053647,1.71315,-0.107418,0
0.038348,1.690845,0.135533,0
-0.047743,-0.790054,-0.570099,1
-2.36387,-3.100895,1.169839,0
-2.39557,-1.319446,0.522826,0
-0.561177,-0.012773,-0.373589,0
-0.028433,0.572846,-0.883891,1
-0.463251,-0.327852,-0.53019,1
-1.171753,-1.556161,0.119784,0
-1.144004,-1.356018,0.139088,0
-2.65511,0.061272,0.918402,0
0.458258,0.746715,-0.897479,1
-1.287054,-0.139184,-0.17086,0
0.075589,0.821551,-0.84662,1
-1.822672,-0.804248,0.380558,0
0.333386,-0.67814,-1.016936,1
1.003883,-0.19361,-0.915388,1
-1.629857,0.691991,-0.222407,0
-0.896361,-1.161418,-0.169112,1
0.102699,-0.847216,-1.012379,1
1.991877,-0.223264,-0.321321,1
-1.389346,-0.211526,0.065786,0
0.829834,0.058148,0.258088,0
0.201177,-1.081272,-1.022337,1
-1.044069,-2.258591,-0.143794,1
0.452634,0.523999,-0.914152,1
-0.025961,2.091881,-0.012911,0
0.613526,1.930176,-0.057195,0
3.035694,-1.633165,0.681546,1
2.628518,-1.184891,0.489386,1
1.992417,-0.207131,-0.274044,1
-1.217885,1.52237,0.237431,0
1.96344,-0.316851,-0.186141,1
-0.967101,0.675971,0.019125,0
2.767926,-1.050119,0.115152,1
-0.556171,0.950326,-0.53094,1
-1.77157,-0.029017,0.027327,1
-1.542566,-0.662825,0.037994,1
-1.738021,-0.517623,0.146683,1
-1.021699,1.116319,0.034275,0
-0.905711,0.731345,-0.050784,0
-0.831213,0.787846,0.051323,0
-1.733948,-0.698231,0.170531,1
3.173519,-1.503357,1.07237,1
0.59023,-0.415479,-1.076374,1
-1.243557,0.017121,-0.084334,0
-0.864975,-0.973567,-0.182876,1
-0.434272,-0.176002,-0.761168,1
0.351729,1.915434,-0.073448,0
1.52029,0.140883,0.254211,0
-0.118369,-1.455196,-0.681369,1
0.147667,1.564913,0.161961,0
-0.042487,-0.612868,-0.747094,1
-0.039511,0.38124,-0.016267,0
4.076373,-1.54824,0.97345,1
2.840085,-0.559026,0.388687,1
-1.35919,-1.099084,0.582146,0
0.079957,1.616614,0.207649,0
-0.871526,-2.529709,-0.974914,1
0.069348,-0.492431,-0.873436,1
1.438642,-0.115272,-0.062255,0
-2.820579,-0.224497,0.922066,0
0.920264,0.871909,0.652424,0
-0.25784,0.110233,-0.553024,1
0.467823,0.400575,-0.882358,1
-1.176293,-0.582995,-0.234921,1
0.887728,0.578956,0.614081,0
0.211014,0.315216,-0.592517,1
-1.633254,0.797991,-0.262176,0
-2.399317,0.146988,0.667198,0
-1.999246,-0.751775,0.399123,0
0.246923,-0.648167,-1.057942,1
-2.253359,-0.95738,0.642041,1
1.88258,-0.576104,-0.205771,1
-2.693196,0.697213,0.947544,0
0.283045,0.012913,-0.669333,1
1.574026,0.345777,0.178823,0
0.1752,1.247501,0.21393,0
3.365335,-1.887218,1.204292,1
-0.32719,0.712883,-0.713096,1
-0.592451,-1.156414,-0.383979,1
0.093277,1.02031,0.052435,0
3.979225,-1.333576,0.965283,1
0.375358,1.36491,-0.154125,0
-0.463249,-0.428346,-0.511957,1
-0.443545,-0.400851,-0.5254,1
-2.720492,0.260509,0.888338,0
1.594658,-0.259109,-0.092057,0
1.777572,-0.48832,-0.069099,1
0.099435,1.39178,0.184606,0
0.068192,-0.493255,-0.862576,1
0.581042,0.121167,-0.74985,1
2.44786,-0.399419,-0.274823,1
-1.166826,-1.682251,0.117004,0
0.059436,2.014962,0.195669,0
0.196423,0.452414,-0.569164,1
-2.167173,-2.151115,0.950772,0
1.390344,-0.193135,0.34605,0
-2.508063,0.190574,0.777188,0
0.725819,1.647293,0.308161,0
-1.566726,0.885522,-0.126769,0
-0.475276,-0.139485,-0.221522,0
0.765033,-0.120582,0.669895,0
-1.059634,-1.452331,0.074905,0
0.772287,1.560509,0.731868,0
2.092013,-0.739738,0.399446,1
-1.451908,-1.981352,0.62597,0
-1.474708,-0.125912,0.682447,0
2.212433,-0.892014,0.650758,1
3.02505,-1.435673,0.69609,1
-0.971572,1.233751,-0.018777,0
2.516311,-1.242007,0.237318,1
2.790525,-0.192604,-0.345045,1
-0.960075,-1.302514,0.084532,0
-1.227893,-0.835866,-0.262956,1
1.8078,0.340286,-0.517073,1
-1.041873,-0.740056,-0.77028,0
-0.319057,-0.090425,-0.824705,1
1.1493,0.088366,0.721341,0
-2.802181,-0.067583,1.046811,0
2.867584,-1.541042,-0.055797,1
-1.160564,1.001391,0.021316,0
2.762393,-0.058906,0.075597,1
-0.183319,0.668197,-0.154198,0
0.431737,1.705551,-0.106121,0
-1.244133,-1.000211,0.59561,0
-0.073623,0.764645,0.073517,0
1.281248,-0.064096,-0.186118,0
-0.713021,-0.74428,-0.619986,1
1.263977,-0.050374,-0.502226,1
-0.782764,0.868832,0.114498,0
-1.225941,-0.862893,-0.204047,1
-0.387878,0.810522,-0.391806,0
0.342528,1.559919,-0.008258,0
-0.627931,0.013553,-0.265204,0
0.626636,0.487249,0.452093,0
0.09484,0.945022,0.135167,0
-1.204683,1.88289,0.299413,0
2.703946,-1.151228,0.204273,1
0.239625,0.763518,-0.83292,1
2.043178,0.193774,-0.272587,1
0.137842,-0.43173,-0.840058,1
0.122762,1.082494,0.11519,0
-1.777916,1.307771,0.370027,0
3.398362,-1.820036,1.226688,1
-0.50869,2.024256,-0.005299,0
1.425987,0.660056,0.959875,0
2.004082,-0.300019,-0.126313,1
-0.508742,0.549021,-0.757807,1
-0.289566,-0.688388,-0.848208,1
-1.480528,0.031348,-0.184932,1
-0.638507,-1.938337,-0.412541,1
1.831303,-0.334347,-0.256573,1
0.620564,1.387966,0.505298,0
0.50625,0.856226,0.397975,0
0.694288,1.261998,0.601887,0
0.269738,1.6095,0.247202,0
2.874886,-0.0428,-0.011202,1
0.72326,0.538666,0.535859,0
0.201074,1.528044,0.287888,0
1.255181,0.238804,0.605097,0
0.597129,0.461812,-0.530565,1
-0.544683,0.121119,-0.841795,1
-0.658819,-1.190143,-0.513579,1
-1.347692,-0.135569,0.519326,0
-1.291827,0.320709,-0.108048,0
0.37049,0.645863,0.083738,0
1.003603,0.048702,-0.637361,1
-0.785614,-1.690263,-0.215914,1
3.056076,-0.838705,-0.18022,1
-0.345825,1.410115,0.209717,0
2.82449,-0.223468,-0.548511,1
-1.268161,0.03839,-0.271597,0
0.221909,-1.415978,-1.126383,1
0.725091,1.415958,0.455504,0
-1.531141,1.11037,-0.16204,0
-1.185832,-1.413851,0.720409,0
0.118563,1.944909,0.293031,0
-1.57002,1.744769,0.359205,0
0.663113,-0.239204,-1.107915,1
-0.242689,1.52017,0.265111,0
0.081097,2.000692,0.254937,0
-1.367361,-1.484287,0.455773,0
0.896324,-0.173417,-1.182265,1
2.045959,-0.261376,-0.147755,1
0.934641,-0.526017,-0.71719,1
0.260489,-1.064063,-1.203803,1
-1.042957,1.365687,-0.052733,0
0.171773,-1.195511,-1.155169,1
-2.29128,-1.768498,0.293085,0
2.68686,-0.639297,0.2974,1
-2.182832,-2.283479,0.974634,0
0.362784,0.306019,-0.874445,1
0.705291,1.632795,0.327837,0
0.724193,0.953882,0.11276,0
-0.708943,-0.747984,-0.637966,1
2.548102,-1.79594,-0.024375,1
-0.120731,0.450418,-0.18606,0
0.750116,0.89033,0.113494,0
0.058511,1.432595,0.098672,0
-1.592438,-1.928094,0.605583,0
1.190351,-0.040866,0.419745,0
0.926848,1.233952,0.848363,0
1.123613,0.285477,-0.572828,1
-1.492791,1.179269,-0.149272,0
-0.441572,-0.880239,-0.418088,1
-2.621953,0.030411,0.881905,0
1.369395,-0.11518,-0.291813,0
-2.619564,1.183416,1.050011,0
-1.830777,0.941929,-0.053821,0
0.894336,0.179349,0.473973,0
-1.941279,-0.692651,0.426128,0
0.656086,0.776748,0.255099,0
-1.486049,-3.478134,0.316873,1
0.352503,0.541401,-0.849666,1
-1.505346,1.452637,0.289123,0
0.042726,0.651409,-0.171983,0
-1.730411,-0.699561,0.128129,1
-0.302991,-0.012326,-0.229221,0
-1.494939,-2.968976,0.244807,1
0.929944,-0.046251,-0.799401,1
2.958113,-1.691987,0.616246,1
1.199217,0.363881,-0.563382,1
0.296599,0.169553,-0.615769,1
2.960699,-1.110411,0.499445,1
0.778289,0.459526,-1.255978,1
1.657637,0.055202,0.218849,0
1.799099,-0.633475,-0.281632,1
-0.988194,-2.569969,0.027134,1
-0.109843,1.329532,0.094705,0
-0.770708,1.191274,-0.301043,0
-1.551477,1.1638,0.183001,0
1.014885,0.410919,0.879962,0
-0.087093,-1.396638,-0.636487,1
-0.711337,-0.348929,-0.327646,0
-0.594835,-1.656063,-0.430718,1
-1.337443,0.287303,-0.39666,0
-0.960982,-2.401674,-0.119182,1
-1.622135,-0.598048,0.169965,1
-0.079994,1.695739,0.234022,0
-1.655607,1.112302,0.386318,0
-0.703111,-0.422607,-0.293651,1
-1.090608,0.176335,-0.445942,1
-0.644128,1.937799,0.02893,0
1.435295,-0.122154,1.478808,0
0.962334,0.145401,-0.737367,1
1.207809,0.319754,0.349406,0
-0.386679,1.15874,0.205729,0
-1.497271,-1.872313,0.860104,0
2.658325,-0.831289,0.451315,1
-0.510868,-0.283787,-0.785061,1
-2.322125,-2.718153,0.987136,0
1.021646,0.133065,-0.901861,1
1.190351,-0.040866,0.419745,0
-0.241829,-0.578611,-0.491451,1
-1.100318,0.179787,-0.41119,1
-1.713252,0.229877,0.082166,1
-0.226747,0.187137,-0.19513,0
0.039933,-0.562155,-0.67863,1
-0.529417,0.149332,-0.35909,0
2.83344,-1.797131,0.639589,1
-0.046521,-0.621507,-0.816846,1
-0.529082,-1.696466,-0.521823,1
-2.47905,0.804444,0.910602,0
-2.437599,-0.10861,0.6412,0
-2.442068,-0.220233,0.646193,0
-1.164025,0.014692,0.250368,0
-2.424814,-0.187059,0.595169,0
2.424732,0.039092,-0.313719,1
3.857323,-2.432257,1.617295,1
-1.126244,-0.638679,-0.282463,1
-1.392519,-0.049693,-0.099293,0
-0.567821,0.230078,-0.774282,1
-0.132115,1.304873,0.152514,0
-1.991247,-0.866247,0.444042,0
-0.629109,1.059577,-0.270154,0
0.080948,-0.05728,-0.65957,1
1.775722,0.090644,-0.338963,1
-1.259685,-1.858047,0.643601,0
0.340114,1.544075,0.201682,0
0.955845,-0.056513,-1.150272,1
1.198145,-0.830297,-0.242855,0
1.910266,-0.561187,-0.084346,1
-1.150763,0.34098,-0.357788,1
0.177813,-1.253072,-1.244663,1
2.72254,-0.496053,0.354613,1
4.005805,-2.325231,1.911104,1
0.095367,0.589557,-0.907715,1
0.734653,0.4374,-0.619749,1
-0.271715,-0.139698,-0.563838,1
0.854937,0.715686,0.093618,0
-1.464554,-3.334481,0.287424,1
0.747512,0.227404,0.497425,0
0.605347,0.438411,-0.746254,1
-1.188714,-3.547889,0.041225,1
0.013298,0.966719,0.100331,0
0.14424,0.250096,-0.590785,1
-2.813194,0.583758,1.150872,0
-2.589404,0.196733,0.908151,0
0.10533,-0.300544,-0.799682,1
1.677847,0.278025,-0.384073,1
1.317856,1.564781,0.330365,0
-1.343453,0.146037,0.553766,0
-0.327684,0.705898,-0.16436,0
0.896632,0.729537,0.681539,0
-2.551132,0.059955,0.800331,0
0.909602,1.837256,0.643789,0
2.430486,-0.472768,-0.273547,1
-1.272,-3.851842,0.12108,1
0.129647,0.267624,-0.628916,1
1.906167,-0.169742,-0.082981,1
-1.366089,-0.162537,-0.001,0
-2.554382,-1.723497,0.719249,0
1.806454,0.448402,-0.475303,1
-0.297899,0.201923,-0.208434,0
0.350239,0.585688,-0.543412,1
3.417416,-1.682488,1.4161,1
-1.269264,0.030499,-0.07002,0
0.746751,1.333231,0.741622,0
0.624118,1.580523,0.435694,0
0.944633,1.591496,0.410429,0
-0.20367,1.32386,0.187938,0
-1.413334,-0.602044,-0.025412,0
0.713746,0.501925,-0.587378,1
0.991638,1.178571,0.637369,0
0.559336,0.563465,-0.278994,0
-1.460106,0.111911,-0.094583,0
-1.082736,1.000105,0.142165,0
-2.055787,0.141972,0.288738,0
2.618358,-1.190726,0.645581,1
2.594116,-1.663303,-0.035018,1
-1.053903,-0.039848,0.329002,0
-1.495727,1.399391,0.320177,0
0.337189,0.311163,-0.84662,1
-0.191005,0.787512,-0.771941,1
-2.273453,-1.202604,0.583036,1
-2.292114,0.271887,0.535481,0
0.53477,0.105772,-0.768568,1
-0.295532,0.274301,-0.257349,0
-0.528844,2.096345,0.011784,0
-0.541601,0.609204,-0.757742,1
-0.97697,1.077605,0.125828,0
-1.33068,1.172207,0.211874,0
2.142305,0.020197,0.086108,1
1.133219,0.946616,-0.592575,1
0.829833,0.058134,0.258088,0
-1.605719,-0.84529,0.008852,1
-0.685172,-1.187467,-0.494516,1
-2.535683,-0.230563,0.695362,0
-1.697785,-0.394373,0.172267,1
-1.022556,1.63099,0.011183,0
0.186934,0.634816,0.059961,0
-0.466059,0.954754,-0.374145,0
0.98544,0.030005,-0.893299,1
-1.00072,-3.480521,-0.023061,1
0.729434,-0.288876,-1.116505,1
2.566355,-0.274935,-0.219387,1
1.646919,0.06338,-0.196738,1
-2.554382,-1.723497,0.719249,0
1.491989,0.000172,1.259757,0
0.37824,0.18395,-0.93889,1
0.752185,0.206784,-1.26987,1
-0.517992,0.776222,-0.765886,1
-1.181631,-0.446752,-0.248136,0
-0.309706,-0.372586,-0.609664,1
3.845811,-1.262009,0.826366,1
0.808012,1.830953,0.458111,0
-1.528842,-0.567902,0.024743,1
-0.729986,1.030856,0.085974,0
0.850132,1.205083,0.70844,0
-1.481539,0.168316,-0.130648,1
-2.29128,-1.768498,0.293085,0
-0.065081,2.024009,0.00113,0
-1.096997,-0.538475,-0.261997,1
1.117007,0.966545,0.081862,0
0.282037,0.243534,-0.129828,0
-0.920055,0.149812,0.364494,0
-0.310776,-0.593963,-0.802951,1
1.954261,-0.075494,-0.300811,1
0.282403,0.144613,-0.603082,1
-0.838628,-0.771851,-0.194632,1
1.43538,-0.128909,-0.183208,0
0.584225,0.610288,-0.925432,1
-0.61094,-1.054651,-0.478788,1
-1.087537,-2.742667,-0.403705,1
0.087156,0.372782,-0.599066,1
-1.350698,1.850493,0.336016,0
0.154007,-0.269518,-0.897496,1
-1.818848,1.186565,0.488232,0
0.233185,-0.006921,-0.634814,1
1.671816,0.392489,1.197288,0
0.107173,-0.457571,-0.894963,1
0.218405,1.884425,0.316638,0
-0.098739,1.714987,0.412882,0
0.879241,-0.827802,-0.780145,1
-1.125978,-3.352485,0.048084,1
0.493774,0.4251,-0.483091,1
-1.267571,0.421989,-0.502603,0
2.873131,-0.534057,0.650188,1
3.992813,-1.867503,1.104218,1
-0.258827,0.343781,-0.134882,0
-0.537145,0.113093,-0.825784,1
0.404792,-0.487516,-1.037658,1
0.814671,-0.160147,-0.9357,1
-1.098968,0.403211,-0.391832,1
-1.288448,1.635158,0.277284,0
-1.571158,-0.06703,-0.12874,1
-2.474722,0.045235,0.748844,0
0.169353,0.240551,-0.275214,0
-0.37977,1.125713,0.122463,0
2.873666,-0.771994,0.771102,1
-0.587506,-0.663159,-0.691165,1
-0.956719,0.685693,0.452005,0
1.277388,-0.180605,-0.117879,0
2.610865,-1.01729,0.371036,1
-1.073214,1.14027,-0.070215,0
1.039523,0.747158,-0.492604,1
1.034322,1.220653,0.623574,0
2.870123,-0.209584,0.019639,1
-2.553413,-1.502844,0.521489,0
0.320867,1.800177,-0.100414,0
2.775089,-1.664758,0.228885,1
1.270265,-0.50906,0.100552,0
-0.987246,0.224392,-0.489362,1
-0.227473,-0.514441,-0.530391,1
-1.855351,-2.071339,0.095438,0
-0.178047,1.931295,0.02325,0
0.914966,0.971727,0.104538,0
-1.448589,1.063077,0.25702,0
-1.348645,-3.196863,0.132304,1
0.769456,0.496524,0.731851,0
2.510308,-1.373222,0.647732,1
-0.5537,-1.736311,-0.437399,1
-2.260135,-1.382763,0.592679,1
-1.679526,1.072284,0.425788,0
-0.066788,0.608012,-0.180999,0
2.928437,-0.931163,0.305762,1
-1.102484,-2.358408,-0.000884,1
-0.596561,0.797713,-0.60963,1
-1.703317,1.149752,0.414178,0
-0.209085,1.368163,0.178037,0
1.165845,1.578279,0.416204,0
-1.229422,-3.797664,0.16476,1
0.657924,1.159856,0.322123,0
-1.307904,-0.921109,0.446517,0
3.288447,-1.941357,1.20376,1
1.013524,1.893664,0.497592,0
1.449001,-0.051852,1.397502,0
-2.584739,0.467193,0.710133,0
-1.115167,-1.377085,0.07967,0
-1.380452,0.097709,-0.113346,0
2.104214,-0.342926,0.059418,1
-2.421294,0.022448,0.557102,0
-1.395193,-2.780044,0.245711,1
-1.440073,-3.135988,0.232075,1
-2.796857,0.555998,1.004176,0
2.878106,-1.140142,0.403187,1
-2.531338,0.227018,0.799272,0
2.82325,-1.226412,0.560971,1
-1.032803,0.137258,0.463466,0
-1.480085,1.090969,0.243534,0
-0.55666,1.631441,-0.073747,0
0.282037,0.243534,-0.129828,0
-0.724367,0.167915,-0.165778,0
-2.689641,0.386549,1.001824,0
-1.233028,0.083269,0.354461,0
1.41959,0.26602,0.34921,0
-0.509912,0.115525,-0.269031,0
-1.215044,0.51622,-0.49625,0
-0.744736,-1.028776,-0.629795,1
0.65977,0.623835,-0.596597,1
1.989929,0.111679,-0.228473,1
-1.159005,1.198801,0.135677,0
1.42032,0.009991,-0.200823,0
-1.746262,0.757966,-0.128007,0
-0.57688,-1.975507,-0.459002,1
3.993797,-2.216082,1.636251,1
-0.918423,1.346061,-0.127885,0
1.853711,0.520037,1.08402,0
1.039113,0.105695,-0.912639,1
2.520447,-1.483373,0.709586,1
0.511675,1.814804,-0.193834,0
0.531255,-0.066816,-0.803675,1
-0.163191,-0.813393,-0.672785,1
-1.118082,1.27302,-0.077923,0
-0.598657,-1.368249,-0.430664,1
-1.338429,0.02821,0.278762,0
-0.58227,0.252833,-0.800062,1
-1.202381,-0.823452,-0.233813,1
0.717666,1.642637,0.485765,0
-2.354316,0.158517,0.577802,0
2.577806,-1.27834,0.678771,1
1.348995,1.063689,0.909081,0
1.765534,-0.166105,-0.121857,1
-1.414961,0.11772,-0.446802,0
-1.153612,-0.024477,-0.446432,1
-0.065006,1.72929,0.197664,0
0.090852,1.133567,-0.886887,1
1.123864,0.957149,0.54941,0
-2.30633,0.373243,0.547974,0
3.989966,-1.256663,0.83683,1
1.037408,-0.491698,-0.679613,1
-1.746872,0.774165,-0.209624,0
-0.502552,1.007229,-0.584922,1
1.938645,0.53855,1.211866,0
0.515865,1.31934,0.509098,0
-1.566858,-1.677992,0.680073,0
