@relation 'Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.Remove-V-R8,6,11,1,4-5,7,13,12,10,15'

@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute 'marital status' {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute 'capital gain' numeric
@attribute age numeric
@attribute Education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute 'hours per week' numeric
@attribute 'capital loss' numeric
@attribute sex {Female,Male}
@attribute class {<=50K,>50K}

@data
Own-child,Never-married,0,19,HS-grad,9,Other-service,20,0,Male,<=50K
Not-in-family,Never-married,0,29,5th-6th,3,Other-service,25,0,Male,<=50K
Husband,Married-civ-spouse,0,34,Some-college,10,Farming-fishing,72,0,Male,<=50K
Husband,Married-civ-spouse,0,32,Assoc-acdm,12,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,49,11th,7,Craft-repair,40,0,Male,<=50K
Unmarried,Divorced,0,33,11th,7,Exec-managerial,40,0,Female,>50K
Husband,Married-civ-spouse,0,74,7th-8th,4,?,2,0,Male,<=50K
Husband,Married-civ-spouse,0,62,Bachelors,13,Prof-specialty,50,0,Male,>50K
Husband,Married-civ-spouse,0,39,HS-grad,9,Exec-managerial,40,0,Male,<=50K
Unmarried,Divorced,0,43,HS-grad,9,Exec-managerial,40,0,Female,<=50K
Not-in-family,Never-married,0,22,Some-college,10,Tech-support,60,0,Female,<=50K
Husband,Married-civ-spouse,0,24,HS-grad,9,Transport-moving,45,0,Male,<=50K
Husband,Married-civ-spouse,0,76,HS-grad,9,?,40,0,Male,>50K
Unmarried,Never-married,0,25,Some-college,10,Other-service,40,0,Female,<=50K
Not-in-family,Never-married,0,19,Some-college,10,Sales,28,0,Female,<=50K
Unmarried,Divorced,0,31,Assoc-acdm,12,Adm-clerical,41,0,Female,<=50K
Other-relative,Divorced,0,53,11th,7,Craft-repair,40,0,Female,<=50K
Husband,Married-civ-spouse,0,61,HS-grad,9,Adm-clerical,3,0,Male,<=50K
Husband,Married-civ-spouse,0,47,Bachelors,13,Other-service,40,0,Male,<=50K
Unmarried,Divorced,0,37,HS-grad,9,Adm-clerical,45,0,Female,<=50K
Not-in-family,Divorced,0,50,Bachelors,13,Exec-managerial,30,0,Male,<=50K
Not-in-family,Never-married,0,27,Some-college,10,Sales,44,0,Male,<=50K
Not-in-family,Divorced,0,58,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Husband,Married-civ-spouse,0,43,HS-grad,9,Handlers-cleaners,40,0,Male,<=50K
Husband,Married-civ-spouse,0,39,Assoc-acdm,12,Adm-clerical,40,0,Male,<=50K
Not-in-family,Never-married,0,36,Some-college,10,Sales,35,0,Female,<=50K
Husband,Married-civ-spouse,0,56,Bachelors,13,Prof-specialty,50,0,Male,<=50K
Husband,Married-civ-spouse,0,26,HS-grad,9,Farming-fishing,55,0,Male,<=50K
Own-child,Never-married,0,23,Bachelors,13,Prof-specialty,38,0,Female,<=50K
Not-in-family,Never-married,0,47,11th,7,Transport-moving,40,0,Male,<=50K
Not-in-family,Widowed,0,68,12th,8,Sales,30,0,Female,<=50K
Not-in-family,Never-married,0,47,Some-college,10,Protective-serv,40,0,Male,<=50K
Husband,Married-civ-spouse,7688,45,Some-college,10,Tech-support,40,0,Male,>50K
Husband,Married-civ-spouse,0,26,Some-college,10,Exec-managerial,60,0,Male,<=50K
Own-child,Never-married,0,20,HS-grad,9,Machine-op-inspct,40,1590,Male,<=50K
Own-child,Never-married,0,46,Some-college,10,Adm-clerical,40,0,Female,<=50K
Husband,Married-civ-spouse,0,37,Assoc-acdm,12,Tech-support,50,0,Male,>50K
Husband,Married-civ-spouse,0,37,Some-college,10,Craft-repair,45,0,Male,<=50K
Husband,Married-civ-spouse,0,43,Some-college,10,Transport-moving,42,0,Male,<=50K
Not-in-family,Widowed,0,59,Masters,14,Prof-specialty,40,0,Female,<=50K
Unmarried,Divorced,0,39,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Not-in-family,Divorced,0,32,Some-college,10,Farming-fishing,54,1590,Female,<=50K
Husband,Married-civ-spouse,0,63,Some-college,10,Prof-specialty,16,0,Male,<=50K
Husband,Married-civ-spouse,0,45,Bachelors,13,Prof-specialty,60,0,Male,>50K
Unmarried,Divorced,0,59,Bachelors,13,Adm-clerical,40,0,Female,<=50K
Not-in-family,Never-married,0,36,12th,8,?,35,0,Male,<=50K
Other-relative,Never-married,0,26,HS-grad,9,Tech-support,40,0,Male,<=50K
Unmarried,Divorced,0,34,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Husband,Married-civ-spouse,0,41,HS-grad,9,Craft-repair,40,0,Male,>50K
Own-child,Never-married,0,26,HS-grad,9,Handlers-cleaners,40,0,Male,<=50K
Not-in-family,Divorced,0,53,HS-grad,9,Machine-op-inspct,40,0,Female,<=50K
Wife,Married-civ-spouse,0,33,HS-grad,9,Adm-clerical,35,0,Female,>50K
Husband,Married-civ-spouse,0,46,Bachelors,13,Exec-managerial,50,0,Male,>50K
Not-in-family,Widowed,0,79,HS-grad,9,?,30,0,Female,<=50K
Unmarried,Widowed,0,31,HS-grad,9,Craft-repair,40,0,Female,<=50K
Not-in-family,Separated,0,24,HS-grad,9,Other-service,40,0,Male,<=50K
Unmarried,Divorced,0,57,HS-grad,9,Adm-clerical,62,0,Female,<=50K
Unmarried,Separated,0,40,HS-grad,9,Other-service,47,0,Female,<=50K
Husband,Married-civ-spouse,0,41,Assoc-voc,11,Sales,84,2179,Male,<=50K
Own-child,Never-married,0,20,Some-college,10,Adm-clerical,26,0,Male,<=50K
Not-in-family,Never-married,0,45,11th,7,Machine-op-inspct,40,0,Female,<=50K
Unmarried,Separated,0,27,Assoc-voc,11,Adm-clerical,40,0,Female,<=50K
Other-relative,Married-spouse-absent,0,36,5th-6th,3,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,30,HS-grad,9,Craft-repair,40,0,Male,<=50K
Wife,Married-civ-spouse,0,36,Bachelors,13,Prof-specialty,40,0,Female,>50K
Not-in-family,Married-spouse-absent,0,25,HS-grad,9,Farming-fishing,40,0,Male,<=50K
Not-in-family,Never-married,0,30,Some-college,10,?,25,1719,Female,<=50K
Wife,Married-civ-spouse,0,31,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Husband,Married-civ-spouse,7688,49,HS-grad,9,Craft-repair,45,0,Male,>50K
Unmarried,Never-married,0,26,11th,7,Handlers-cleaners,20,0,Male,<=50K
Not-in-family,Never-married,0,25,Bachelors,13,Prof-specialty,40,0,Male,<=50K
Own-child,Never-married,0,29,Assoc-voc,11,Adm-clerical,40,0,Female,<=50K
Own-child,Never-married,3325,24,Some-college,10,Adm-clerical,52,0,Female,<=50K
Husband,Married-civ-spouse,0,41,HS-grad,9,Adm-clerical,40,0,Male,>50K
Not-in-family,Never-married,0,35,Masters,14,Exec-managerial,40,0,Male,>50K
Wife,Married-civ-spouse,0,57,Bachelors,13,Sales,40,0,Female,>50K
Other-relative,Never-married,0,21,11th,7,Priv-house-serv,40,0,Female,<=50K
Own-child,Never-married,0,29,10th,6,Other-service,32,0,Female,<=50K
Husband,Married-civ-spouse,0,36,Some-college,10,Exec-managerial,40,0,Male,<=50K
Own-child,Never-married,0,20,Some-college,10,Adm-clerical,25,0,Female,<=50K
Husband,Married-civ-spouse,0,51,Bachelors,13,Exec-managerial,40,0,Male,>50K
Husband,Married-civ-spouse,0,39,11th,7,Machine-op-inspct,40,0,Male,<=50K
Husband,Married-civ-spouse,5013,36,Bachelors,13,Exec-managerial,50,0,Male,<=50K
Husband,Married-civ-spouse,99999,40,Prof-school,15,Prof-specialty,70,0,Male,>50K
Husband,Married-civ-spouse,0,61,HS-grad,9,Exec-managerial,50,0,Male,<=50K
Husband,Married-civ-spouse,0,38,Prof-school,15,Prof-specialty,60,0,Male,<=50K
Own-child,Never-married,0,20,Some-college,10,?,35,0,Male,<=50K
Own-child,Separated,0,21,HS-grad,9,Other-service,35,0,Female,<=50K
Unmarried,Divorced,0,40,HS-grad,9,Tech-support,40,0,Female,<=50K
Husband,Married-civ-spouse,0,46,10th,6,Craft-repair,45,0,Male,<=50K
Husband,Married-civ-spouse,0,21,Some-college,10,Craft-repair,54,0,Male,<=50K
Husband,Married-civ-spouse,0,35,10th,6,Transport-moving,50,0,Male,<=50K
Husband,Married-civ-spouse,0,39,Bachelors,13,Sales,40,0,Male,<=50K
Husband,Married-civ-spouse,0,38,HS-grad,9,Craft-repair,60,0,Male,<=50K
Unmarried,Separated,0,30,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Unmarried,Never-married,0,28,9th,5,Machine-op-inspct,40,0,Male,<=50K
Husband,Married-civ-spouse,0,32,Bachelors,13,Exec-managerial,40,0,Male,>50K
Husband,Married-civ-spouse,0,46,Assoc-voc,11,Craft-repair,40,0,Male,>50K
Husband,Married-civ-spouse,0,40,Assoc-voc,11,Craft-repair,40,0,Male,<=50K
Wife,Married-civ-spouse,15024,47,HS-grad,9,Machine-op-inspct,40,0,Female,>50K
Husband,Married-civ-spouse,0,44,10th,6,Transport-moving,40,0,Male,<=50K
Husband,Married-civ-spouse,3464,38,HS-grad,9,Sales,40,0,Male,<=50K
Not-in-family,Married-spouse-absent,0,51,HS-grad,9,?,20,0,Male,>50K
Husband,Married-civ-spouse,0,46,Bachelors,13,Farming-fishing,40,0,Male,>50K
Husband,Married-civ-spouse,15024,51,Doctorate,16,Prof-specialty,60,0,Male,>50K
Unmarried,Widowed,15020,45,Doctorate,16,Prof-specialty,40,0,Male,>50K
Own-child,Never-married,0,20,Some-college,10,Other-service,20,0,Female,<=50K
Husband,Married-civ-spouse,0,44,Bachelors,13,Prof-specialty,45,0,Male,<=50K
Husband,Married-civ-spouse,0,33,Assoc-voc,11,Farming-fishing,45,0,Male,<=50K
Own-child,Never-married,0,18,HS-grad,9,Other-service,30,0,Female,<=50K
Not-in-family,Separated,0,61,Prof-school,15,Prof-specialty,40,0,Male,>50K
Not-in-family,Never-married,0,50,Bachelors,13,Exec-managerial,40,0,Female,<=50K
Own-child,Never-married,0,47,HS-grad,9,Machine-op-inspct,40,0,Male,<=50K
Husband,Married-civ-spouse,0,34,Bachelors,13,Exec-managerial,50,0,Male,>50K
Husband,Married-civ-spouse,0,53,HS-grad,9,Transport-moving,60,0,Male,<=50K
Husband,Married-civ-spouse,0,39,Some-college,10,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,58,HS-grad,9,Craft-repair,40,0,Male,>50K
Husband,Married-civ-spouse,0,66,HS-grad,9,?,18,0,Male,<=50K
Not-in-family,Never-married,0,26,11th,7,Farming-fishing,50,0,Male,<=50K
Husband,Married-civ-spouse,0,41,5th-6th,3,Adm-clerical,40,0,Male,<=50K
Husband,Married-civ-spouse,0,47,Some-college,10,Exec-managerial,40,0,Male,<=50K
Husband,Married-civ-spouse,0,31,Assoc-voc,11,Machine-op-inspct,40,0,Male,<=50K
Husband,Married-civ-spouse,0,52,Some-college,10,Exec-managerial,40,0,Male,>50K
Husband,Married-civ-spouse,0,29,Assoc-acdm,12,Sales,50,0,Male,>50K
Unmarried,Separated,0,43,9th,5,Handlers-cleaners,50,0,Female,<=50K
Husband,Married-civ-spouse,0,42,Masters,14,Exec-managerial,40,0,Male,>50K
Not-in-family,Never-married,0,35,Some-college,10,Machine-op-inspct,30,0,Female,<=50K
Husband,Married-civ-spouse,2885,41,HS-grad,9,Machine-op-inspct,40,0,Male,<=50K
Husband,Married-civ-spouse,7298,34,Bachelors,13,Sales,60,0,Male,>50K
Husband,Married-civ-spouse,0,52,Some-college,10,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,61,Some-college,10,Craft-repair,40,0,Male,<=50K
Unmarried,Separated,0,39,HS-grad,9,Exec-managerial,40,0,Male,<=50K
Not-in-family,Never-married,0,19,Some-college,10,Sales,25,0,Female,<=50K
Husband,Married-civ-spouse,7688,46,Bachelors,13,Exec-managerial,40,0,Male,>50K
Not-in-family,Never-married,0,39,Some-college,10,Exec-managerial,45,0,Male,<=50K
Not-in-family,Never-married,0,22,Some-college,10,Other-service,50,0,Male,<=50K
Not-in-family,Separated,0,30,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Not-in-family,Divorced,0,40,Assoc-voc,11,Other-service,32,0,Female,<=50K
Not-in-family,Married-spouse-absent,3325,43,Bachelors,13,Prof-specialty,40,0,Male,<=50K
Husband,Married-civ-spouse,0,37,5th-6th,3,Farming-fishing,36,0,Male,<=50K
Own-child,Never-married,0,23,Assoc-acdm,12,Other-service,20,0,Male,<=50K
Not-in-family,Divorced,0,39,Assoc-acdm,12,Prof-specialty,59,0,Male,<=50K
Husband,Married-civ-spouse,0,54,Masters,14,Sales,40,0,Male,<=50K
Husband,Married-civ-spouse,0,46,Some-college,10,Sales,60,0,Male,<=50K
Own-child,Never-married,0,20,Some-college,10,Transport-moving,40,0,Female,<=50K
Wife,Married-civ-spouse,0,50,Bachelors,13,Tech-support,50,0,Female,>50K
Own-child,Never-married,0,17,10th,6,Sales,15,0,Female,<=50K
Husband,Married-civ-spouse,0,36,HS-grad,9,Machine-op-inspct,40,0,Male,<=50K
Husband,Married-civ-spouse,0,37,HS-grad,9,Sales,45,0,Male,<=50K
Not-in-family,Divorced,0,53,HS-grad,9,Other-service,38,0,Female,<=50K
Husband,Married-civ-spouse,0,50,HS-grad,9,Transport-moving,40,0,Male,>50K
Husband,Married-civ-spouse,0,38,HS-grad,9,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,63,HS-grad,9,Craft-repair,32,0,Male,<=50K
Husband,Married-civ-spouse,0,53,HS-grad,9,Craft-repair,50,0,Male,>50K
Not-in-family,Divorced,0,40,Bachelors,13,?,50,0,Female,<=50K
Not-in-family,Never-married,0,23,Some-college,10,Prof-specialty,50,0,Male,<=50K
Not-in-family,Never-married,0,20,HS-grad,9,Handlers-cleaners,43,0,Male,<=50K
Husband,Married-civ-spouse,0,46,Some-college,10,Craft-repair,40,0,Male,>50K
Other-relative,Never-married,0,28,10th,6,Other-service,40,0,Male,<=50K
Not-in-family,Divorced,0,59,Masters,14,Prof-specialty,50,0,Male,<=50K
Husband,Married-civ-spouse,0,41,Bachelors,13,Exec-managerial,40,0,Male,>50K
Husband,Married-civ-spouse,0,33,Preschool,1,Farming-fishing,40,0,Male,<=50K
Husband,Married-civ-spouse,0,56,12th,8,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,15024,50,HS-grad,9,Sales,55,0,Male,>50K
Not-in-family,Never-married,0,31,Bachelors,13,Exec-managerial,50,0,Female,<=50K
Own-child,Divorced,0,41,Assoc-voc,11,Sales,50,0,Male,<=50K
Wife,Married-civ-spouse,7688,38,Bachelors,13,Prof-specialty,40,0,Female,>50K
Own-child,Never-married,0,25,Assoc-acdm,12,Adm-clerical,40,0,Female,<=50K
Other-relative,Never-married,0,18,HS-grad,9,?,12,0,Female,<=50K
Unmarried,Divorced,0,49,Bachelors,13,Prof-specialty,40,0,Female,<=50K
Own-child,Never-married,0,39,Some-college,10,Machine-op-inspct,40,0,Male,<=50K
Own-child,Never-married,0,22,Some-college,10,?,20,0,Female,<=50K
Own-child,Never-married,0,21,Some-college,10,Prof-specialty,25,0,Female,<=50K
Husband,Married-civ-spouse,0,35,Bachelors,13,Sales,40,0,Male,<=50K
Unmarried,Never-married,0,21,HS-grad,9,?,40,0,Female,<=50K
Husband,Married-civ-spouse,0,38,HS-grad,9,Craft-repair,40,0,Male,>50K
Unmarried,Widowed,0,55,7th-8th,4,Other-service,20,0,Female,<=50K
Not-in-family,Divorced,0,31,HS-grad,9,Transport-moving,55,0,Male,<=50K
Own-child,Never-married,0,17,11th,7,Prof-specialty,20,0,Male,<=50K
Husband,Married-civ-spouse,7298,31,Bachelors,13,Adm-clerical,50,0,Male,>50K
Not-in-family,Never-married,0,25,Bachelors,13,Prof-specialty,40,0,Male,<=50K
Husband,Married-civ-spouse,0,39,Masters,14,Exec-managerial,55,0,Male,>50K
Husband,Married-civ-spouse,0,50,7th-8th,4,Machine-op-inspct,40,0,Male,<=50K
Wife,Married-civ-spouse,0,38,Bachelors,13,Prof-specialty,20,0,Female,>50K
Husband,Married-civ-spouse,0,50,Some-college,10,Sales,60,0,Male,<=50K
Husband,Married-civ-spouse,0,63,10th,6,Exec-managerial,40,0,Male,<=50K
Husband,Married-civ-spouse,0,31,HS-grad,9,Transport-moving,50,0,Male,<=50K
Own-child,Never-married,0,23,Bachelors,13,Prof-specialty,40,0,Female,<=50K
Own-child,Never-married,0,18,Some-college,10,Other-service,20,0,Male,<=50K
Unmarried,Divorced,0,43,Bachelors,13,Prof-specialty,48,0,Female,<=50K
Husband,Married-civ-spouse,0,34,Some-college,10,Exec-managerial,50,0,Male,>50K
Own-child,Never-married,0,18,11th,7,Sales,35,0,Male,<=50K
Husband,Married-civ-spouse,4386,46,HS-grad,9,Machine-op-inspct,40,0,Male,>50K
Unmarried,Never-married,0,35,Bachelors,13,Sales,40,0,Female,>50K
Not-in-family,Never-married,0,46,Masters,14,Exec-managerial,38,0,Female,<=50K
Husband,Married-civ-spouse,7298,59,Assoc-voc,11,Tech-support,40,0,Male,>50K
Not-in-family,Never-married,0,31,7th-8th,4,Handlers-cleaners,30,0,Female,<=50K
Unmarried,Divorced,0,27,HS-grad,9,Sales,37,0,Female,<=50K
Husband,Married-civ-spouse,0,41,Masters,14,Prof-specialty,40,0,Male,<=50K
Own-child,Never-married,0,42,HS-grad,9,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,55,Bachelors,13,Exec-managerial,40,0,Male,>50K
Not-in-family,Never-married,0,34,HS-grad,9,?,40,0,Female,<=50K
Not-in-family,Never-married,0,44,HS-grad,9,Machine-op-inspct,40,0,Female,<=50K
Not-in-family,Never-married,0,26,Bachelors,13,Exec-managerial,50,1669,Female,<=50K
Wife,Married-civ-spouse,0,36,Assoc-voc,11,Prof-specialty,40,0,Female,>50K
Husband,Married-civ-spouse,1424,69,9th,5,Other-service,35,0,Male,<=50K
Unmarried,Never-married,0,33,Some-college,10,Adm-clerical,40,0,Female,<=50K
Husband,Married-civ-spouse,0,30,Assoc-voc,11,Prof-specialty,40,0,Male,<=50K
Wife,Married-civ-spouse,0,35,HS-grad,9,Other-service,16,0,Female,>50K
Not-in-family,Never-married,0,25,Bachelors,13,Exec-managerial,40,0,Female,>50K
Own-child,Never-married,0,21,Some-college,10,Other-service,40,0,Male,<=50K
Other-relative,Never-married,0,18,11th,7,Other-service,15,0,Male,<=50K
Husband,Married-civ-spouse,0,35,Some-college,10,Craft-repair,60,0,Male,>50K
Husband,Married-civ-spouse,0,20,HS-grad,9,Handlers-cleaners,50,0,Male,<=50K
Husband,Married-civ-spouse,5013,26,Masters,14,Prof-specialty,40,0,Male,<=50K
Husband,Married-civ-spouse,0,46,Bachelors,13,Tech-support,40,0,Male,<=50K
Unmarried,Never-married,0,31,Bachelors,13,Prof-specialty,36,0,Female,<=50K
Husband,Married-civ-spouse,5178,40,Prof-school,15,Craft-repair,40,0,Male,>50K
Unmarried,Divorced,0,40,HS-grad,9,Exec-managerial,52,625,Female,<=50K
Not-in-family,Never-married,0,31,Bachelors,13,Exec-managerial,40,0,Female,<=50K
Husband,Married-civ-spouse,0,32,Doctorate,16,Exec-managerial,40,0,Male,<=50K
Own-child,Divorced,0,23,Some-college,10,Adm-clerical,40,0,Male,<=50K
Not-in-family,Never-married,0,25,Masters,14,Protective-serv,40,0,Male,<=50K
Husband,Married-civ-spouse,0,37,Some-college,10,Transport-moving,50,0,Male,<=50K
Own-child,Never-married,0,18,Some-college,10,Sales,20,0,Female,<=50K
Not-in-family,Widowed,0,55,HS-grad,9,Sales,38,0,Female,<=50K
Unmarried,Divorced,0,52,9th,5,Craft-repair,40,0,Female,<=50K
Own-child,Never-married,0,26,HS-grad,9,Adm-clerical,40,0,Female,<=50K
Not-in-family,Never-married,0,37,Some-college,10,Tech-support,40,0,Male,>50K
Unmarried,Divorced,0,39,HS-grad,9,Exec-managerial,45,0,Female,<=50K
Not-in-family,Divorced,0,62,Bachelors,13,Prof-specialty,40,0,Female,>50K
Own-child,Never-married,0,19,Some-college,10,?,25,0,Female,<=50K
Husband,Married-civ-spouse,0,47,HS-grad,9,Craft-repair,45,0,Male,>50K
Husband,Married-civ-spouse,0,51,Bachelors,13,Protective-serv,40,0,Male,>50K
Unmarried,Divorced,0,55,HS-grad,9,Other-service,40,0,Female,<=50K
Husband,Married-civ-spouse,0,30,HS-grad,9,Craft-repair,35,0,Male,<=50K
Husband,Married-civ-spouse,0,59,Some-college,10,Craft-repair,36,0,Male,<=50K
Husband,Married-civ-spouse,0,45,10th,6,Craft-repair,65,0,Male,<=50K
Husband,Married-civ-spouse,15024,52,Some-college,10,Exec-managerial,45,0,Male,>50K
Own-child,Never-married,0,21,HS-grad,9,Handlers-cleaners,20,0,Male,<=50K
Husband,Married-civ-spouse,0,31,HS-grad,9,Machine-op-inspct,55,0,Male,<=50K
Own-child,Never-married,0,29,Some-college,10,Adm-clerical,40,0,Male,<=50K
Husband,Married-civ-spouse,0,24,HS-grad,9,Handlers-cleaners,40,0,Male,<=50K
Own-child,Never-married,0,17,10th,6,Other-service,24,0,Male,<=50K
Not-in-family,Divorced,0,47,HS-grad,9,Machine-op-inspct,40,0,Female,<=50K
Husband,Married-civ-spouse,0,46,Some-college,10,Sales,50,0,Male,>50K
Unmarried,Divorced,0,32,HS-grad,9,?,28,0,Female,<=50K
Not-in-family,Never-married,0,34,10th,6,Farming-fishing,44,0,Male,<=50K
Husband,Married-civ-spouse,0,63,12th,8,Transport-moving,40,0,Male,<=50K
Own-child,Never-married,0,21,Some-college,10,Other-service,25,0,Male,<=50K
Other-relative,Never-married,0,18,HS-grad,9,Other-service,36,0,Male,<=50K
Husband,Married-civ-spouse,0,49,Doctorate,16,Exec-managerial,50,0,Male,>50K
Not-in-family,Widowed,0,81,HS-grad,9,Adm-clerical,20,0,Female,<=50K
Husband,Married-civ-spouse,0,36,Assoc-acdm,12,Exec-managerial,40,0,Male,>50K
Husband,Married-civ-spouse,0,47,HS-grad,9,Craft-repair,40,0,Male,>50K
Husband,Married-civ-spouse,0,36,Masters,14,Sales,50,0,Male,>50K
Husband,Married-civ-spouse,0,39,Assoc-voc,11,Farming-fishing,60,0,Male,<=50K
Not-in-family,Never-married,0,46,Bachelors,13,Sales,35,0,Female,<=50K
Wife,Married-civ-spouse,0,43,Some-college,10,Adm-clerical,40,1902,Female,>50K
Unmarried,Divorced,0,39,Bachelors,13,Adm-clerical,35,0,Female,<=50K
Not-in-family,Separated,0,29,Some-college,10,Sales,40,0,Female,<=50K
Own-child,Never-married,0,23,HS-grad,9,Handlers-cleaners,16,0,Female,<=50K
Husband,Married-civ-spouse,0,57,10th,6,Craft-repair,43,0,Male,<=50K
Unmarried,Never-married,0,38,HS-grad,9,Sales,42,0,Female,<=50K
Own-child,Never-married,0,25,Bachelors,13,Sales,40,0,Female,<=50K
Husband,Married-civ-spouse,0,39,Some-college,10,Exec-managerial,40,0,Male,<=50K
Not-in-family,Never-married,0,24,Some-college,10,Sales,40,0,Male,<=50K
Husband,Married-civ-spouse,0,56,Masters,14,Craft-repair,44,1977,Male,>50K
Not-in-family,Divorced,0,39,12th,8,Sales,40,0,Female,<=50K
Unmarried,Never-married,0,23,Assoc-voc,11,Sales,60,0,Female,<=50K
Not-in-family,Never-married,0,17,11th,7,?,20,0,Female,<=50K
Not-in-family,Divorced,3273,67,HS-grad,9,Exec-managerial,16,0,Female,<=50K
Not-in-family,Never-married,0,41,Bachelors,13,Adm-clerical,50,0,Male,<=50K
Own-child,Never-married,0,24,Bachelors,13,Prof-specialty,50,0,Female,<=50K
